color_cepa,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,pH,sulfatos,alcohol,calificacion,precio,nota_de_cata
tinto,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,,
tinto,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,,
tinto,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,,
blanco,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,,
tinto,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,,
tinto,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,,
tinto,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,,
blanco,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,,
tinto,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,,
blanco,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5,,
tinto,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,,
blanco,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,,
blanco,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6,,
blanco,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,,
blanco,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8,,
tinto,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,,
tinto,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,,
tinto,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,,
tinto,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,,
blanco,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,,
blanco,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,,
tinto,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,,
blanco,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,,
tinto,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,,
blanco,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,,
tinto,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,,
tinto,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,,
tinto,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,,
blanco,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,,
blanco,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7,,
blanco,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,,
tinto,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,,
tinto,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,,
blanco,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,,
tinto,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,,
tinto,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,,
blanco,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,,
blanco,7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,,
tinto,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,,
blanco,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,,
tinto,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,,
blanco,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,,
tinto,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,,
blanco,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5,,
tinto,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,,
tinto,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,,
blanco,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,,
tinto,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,,
tinto,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,,
blanco,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5,,
tinto,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,,
blanco,6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6,,
tinto,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,,
tinto,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,,
tinto,10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,,
tinto,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,,
tinto,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,,
blanco,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,,
tinto,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,,
blanco,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,,
tinto,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,,
tinto,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,,
blanco,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7,,
blanco,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,,
tinto,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,,
blanco,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6,,
blanco,8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,,
tinto,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,,
blanco,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5,,
tinto,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,,
blanco,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,,
blanco,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5,,
tinto,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,,
tinto,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,,
blanco,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,,
tinto,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,,
tinto,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,,
tinto,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,,
blanco,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8,,
blanco,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6,,
tinto,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,,
tinto,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,,
blanco,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6,,
blanco,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6,,
tinto,10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,,
blanco,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7,,
blanco,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,,
tinto,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,,
blanco,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6,,
blanco,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,,
tinto,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,,
blanco,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.26666667,7,,
tinto,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,,
tinto,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,,
tinto,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,,
tinto,7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6,,
blanco,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6,,
blanco,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5,,
tinto,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,,
blanco,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6,,
tinto,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,,
blanco,6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,,
tinto,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,,
tinto,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,,
tinto,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,,
tinto,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,,
blanco,7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5,,
blanco,6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7,,
tinto,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,,
blanco,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,,
blanco,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6,,
blanco,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6,,
blanco,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,,
blanco,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8,,
tinto,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,,
blanco,7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,5,,
tinto,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,,
blanco,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,,
tinto,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,,
tinto,7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,,
tinto,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,,
tinto,8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,,
blanco,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,,
tinto,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,,
tinto,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6,,
blanco,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,,
blanco,7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6,,
tinto,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,,
tinto,9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,,
blanco,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,,
blanco,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,,
blanco,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6,,
tinto,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,,
tinto,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,,
blanco,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7,,
tinto,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,,
tinto,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,,
tinto,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7,,
blanco,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,,
blanco,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,6,,
tinto,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6,,
tinto,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,,
blanco,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6,,
tinto,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,,
blanco,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6,,
tinto,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7,,
tinto,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,,
tinto,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,,
tinto,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,,
tinto,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,,
tinto,8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,,
blanco,6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6,,
tinto,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,,
blanco,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,,
blanco,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5,,
blanco,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,,
tinto,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,,
blanco,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,,
blanco,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,,
blanco,6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6,,
tinto,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,,
blanco,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,,
blanco,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,6,,
tinto,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,,
blanco,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6,,
blanco,5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,,
blanco,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6,,
blanco,6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6,,
blanco,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6,,
tinto,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,,
tinto,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6,,
tinto,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,,
tinto,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,,
blanco,7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5,,
tinto,9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,,
tinto,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,,
blanco,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,,
blanco,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6,,
blanco,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7,,
blanco,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,,
tinto,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,,
tinto,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,,
tinto,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,,
blanco,5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,,
blanco,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,,
tinto,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,,
blanco,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,,
tinto,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,,
blanco,7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6,,
tinto,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,,
blanco,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,,
blanco,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,,
blanco,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5,,
tinto,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,,
tinto,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,,
blanco,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,,
tinto,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,,
blanco,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,,
blanco,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,,
tinto,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,,
tinto,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,,
tinto,9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,,
